DateTime,GloRad (W/m2),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C)
07/01/2013 0:00,0,0.65999975,0.80423,10.153
07/01/2013 1:00,0.100063365,0.61138775,0.76821,10.905
07/01/2013 2:00,0,0.92923475,0.79572,10.129
07/01/2013 3:00,0.100063365,1.00402225,0.79498,9.788
07/01/2013 4:00,1.9012035,0.459943,0.88824,8.071
07/01/2013 5:00,45.52882021,0.8881015,0.87713,8.539
07/01/2013 6:00,247.1564379,1.217831378,0.75321,11.871
07/01/2013 7:00,411.9607922,0.339650804,0.61971,14.434
07/01/2013 8:00,577.7657331,0.438851091,0.58547,16.268
07/01/2013 9:00,759.5808294,1.04452803,0.57685,17.171
07/01/2013 10:00,314.0988036,0.803056418,0.58828,17.1
07/01/2013 11:00,381.5415054,0.91845823,0.54975,18.313
07/01/2013 12:00,454.787866,0.751605073,0.51704,18.884
07/01/2013 13:00,769.1868884,0.82585608,0.50692,20.434
07/01/2013 14:00,631.4997569,0.699797851,0.53429,20.291
07/01/2013 15:00,566.358447,0.567058013,0.4655,22.062
07/01/2013 16:00,331.7099832,0.34028325,0.52343,20.792
07/01/2013 17:00,381.7416227,0.7142205,0.50387,20.984
07/01/2013 18:00,250.3584861,0.871402881,0.49727,21.247
07/01/2013 19:00,108.3686184,0.734808658,0.55858,19.909
07/01/2013 20:00,3.602280271,0.001869688,0.73761,17.385
07/01/2013 21:00,0,0,0.81451,16.078
07/01/2013 22:00,0,0,0.87755,13.311
07/01/2013 23:00,0.100063365,0.3683285,0.91088,12.135
07/02/2013 0:00,0,0.38702525,0.92416,11.413
07/02/2013 1:00,0.100063365,0,0.95068,10.153
07/02/2013 2:00,0,0,0.94793,9.885
07/02/2013 3:00,0.100063365,0,0.96711,9.3
07/02/2013 4:00,1.801139707,0,0.9718,8.81
07/02/2013 5:00,40.72578213,0,0.97952,8.981
07/02/2013 6:00,228.9449064,0.185099075,0.9277,11.581
07/02/2013 7:00,396.751106,0.0467422,0.78318,15.244
07/02/2013 8:00,559.1538813,0.785647061,0.68418,17.861
07/02/2013 9:00,698.8423572,1.209086645,0.66001,19.909
07/02/2013 10:00,804.7093807,2.285731674,0.58939,21.534
07/02/2013 11:00,884.960361,1.517754442,0.55749,22.76
07/02/2013 12:00,896.3671333,1.695312749,0.50623,23.702
07/02/2013 13:00,884.3600947,1.471587775,0.50665,24.26
07/02/2013 14:00,826.7233124,1.857597205,0.44565,25.699
07/02/2013 15:00,122.7777497,0.52581772,0.48941,24.26
07/02/2013 16:00,129.6820966,0.378735239,0.66128,22.014
07/02/2013 17:00,122.0772963,0.31784675,0.70834,21.702
07/02/2013 18:00,92.85879897,0,0.78171,21.319
07/02/2013 19:00,54.03419979,0,0.78792,20.864
07/02/2013 20:00,3.001900083,0,0.86742,17.576
07/02/2013 21:00,0,0.001869688,0.92927,15.887
07/02/2013 22:00,0,0,0.95896,14.649
07/02/2013 23:00,0.100063365,0.412976683,0.97685,14.028
07/03/2013 0:00,0.100063365,0,0.94966,12.976
07/03/2013 1:00,0,0.179499738,0.96226,12.592
07/03/2013 2:00,0,0.034475334,0.959,11.943
07/03/2013 3:00,0,0,0.9614,11.219
07/03/2013 4:00,1.100696583,0.001869688,0.95832,10.542
07/03/2013 5:00,38.62444762,0,0.9836,10.372
07/03/2013 6:00,226.8435462,0,0.93576,12.904
07/03/2013 7:00,397.4515594,0.145835625,0.84514,16.815
07/03/2013 8:00,547.1463289,0.73960499,0.71232,19.599
07/03/2013 9:00,419.0652564,0.714230466,0.67998,20.434
07/03/2013 10:00,598.5788752,1.385901288,0.6187,22.062
07/03/2013 11:00,729.2615584,2.59877758,0.5376,23.968
07/03/2013 12:00,648.2102801,1.82389525,0.52361,24.357
07/03/2013 13:00,888.5628151,2.335244997,0.51281,25.773
07/03/2013 14:00,802.0076686,1.919845106,0.49265,25.528
07/03/2013 15:00,699.142576,1.893805306,0.43915,25.724
07/03/2013 16:00,551.0488305,2.200462361,0.3696,26.092
07/03/2013 17:00,236.6498082,1.742614862,0.40952,25.308
07/03/2013 18:00,99.86324734,0.417677417,0.48603,23.872
07/03/2013 19:00,49.73148067,0.35711025,0.62277,21.942
07/03/2013 20:00,2.601646625,0.0467422,0.70714,19.337
07/03/2013 21:00,0,0,0.8311,16.696
07/03/2013 22:00,0,0,0.87604,15.03
07/03/2013 23:00,0.100063365,0.185099075,0.89653,14.434
07/04/2013 0:00,0,0,0.90096,14.506
07/04/2013 1:00,0,0.59082125,0.88007,14.696
07/04/2013 2:00,0,0.58708175,0.88108,15.006
07/04/2013 3:00,0,0.001869688,0.86722,15.292
07/04/2013 4:00,1.400887105,0,0.89927,14.792
07/04/2013 5:00,42.42685634,0,0.93338,14.41
07/04/2013 6:00,217.7378233,0.170141575,0.86329,16.743
07/04/2013 7:00,338.2140955,1.149299747,0.70889,20.267
07/04/2013 8:00,547.7466808,1.669735682,0.60391,22.375
07/04/2013 9:00,692.4382607,1.57160771,0.55772,23.339
07/04/2013 10:00,389.346423,0.495308415,0.57693,22.664
07/04/2013 11:00,440.4788361,0.155858386,0.54217,24.527
07/04/2013 12:00,358.1266669,0.4874008,0.52536,24.478
07/04/2013 13:00,769.587123,1.315304853,0.57855,25.381
07/04/2013 14:00,356.7257601,1.103274187,0.57779,24.673
07/04/2013 15:00,170.3077944,1.288517221,0.57026,24.43
07/04/2013 16:00,434.6750916,1.022575503,0.54272,25.136
07/04/2013 17:00,395.650418,1.962535188,0.53452,24.917
07/04/2013 18:00,204.1292468,1.931578253,0.55962,24.211
07/04/2013 19:00,57.63648263,0.198583338,0.58486,23.194
07/04/2013 20:00,3.902469937,1.06011275,0.6806,19.956
07/04/2013 21:00,0,0.108441875,0.77221,18.099
07/04/2013 22:00,0,0.27110475,0.82877,16.767
07/04/2013 23:00,0,0,0.84652,15.744
07/05/2013 0:00,0,0.005609063,0.87002,15.221
07/05/2013 1:00,0.100063365,0.7273085,0.89355,14.195
07/05/2013 2:00,0,0.75909325,0.89175,14.219
07/05/2013 3:00,0,0.170141575,0.87454,15.078
07/05/2013 4:00,0.80050666,0.248668425,0.94111,13.167
07/05/2013 5:00,27.01710417,0,0.95155,13.598
07/05/2013 6:00,226.543413,0.335675362,0.78951,19.051
07/05/2013 7:00,137.4870142,1.284805825,0.66416,20.744
07/05/2013 8:00,180.3141737,2.473195156,0.66757,20.816
07/05/2013 9:00,692.0380261,2.700380665,0.55903,23.17
07/05/2013 10:00,797.2045963,2.64326812,0.52561,23.968
07/05/2013 11:00,870.2508396,2.153576441,0.49654,24.819
07/05/2013 12:00,941.1961509,3.127309261,0.44884,25.65
07/05/2013 13:00,680.830943,4.054692345,0.44977,25.332
07/05/2013 14:00,801.8074656,2.875766894,0.4662,25.773
07/05/2013 15:00,674.3268307,2.609754302,0.45428,26.387
07/05/2013 16:00,446.4826123,2.752592078,0.49669,25.185
07/05/2013 17:00,404.4560077,1.840514475,0.52825,24.503
07/05/2013 18:00,255.5617931,3.078759709,0.5196,23.968
07/05/2013 19:00,63.84041038,1.520396236,0.55839,22.519
07/05/2013 20:00,2.601646625,1.071396254,0.62796,21.223
07/05/2013 21:00,0.100063365,1.589504828,0.65337,20.912
07/05/2013 22:00,0,2.729773401,0.65203,20.482
07/05/2013 23:00,0,1.251569744,0.69456,19.837
07/06/2013 0:00,0,0.865534061,0.72138,19.456
07/06/2013 1:00,0.100063365,1.47103049,0.72775,19.289
07/06/2013 2:00,0.100063365,0.3514465,0.74729,18.789
07/06/2013 3:00,0.100063365,0.587129562,0.76886,18.408
07/06/2013 4:00,0.400253373,1.5803018,0.76245,18.622
07/06/2013 5:00,5.503483771,0.848222247,0.75868,18.598
07/06/2013 6:00,44.12793054,2.48319077,0.76268,18.598
07/06/2013 7:00,72.04560542,1.423573833,0.86659,17.338
07/06/2013 8:00,97.46166836,0.998017409,0.88174,17.195
07/06/2013 9:00,427.9709477,1.047634259,0.80771,19.503
07/06/2013 10:00,878.3557191,2.753059767,0.70205,22.134
07/06/2013 11:00,901.2703071,2.513870549,0.65053,23.122
07/06/2013 12:00,736.8664443,1.737938562,0.63737,23.049
07/06/2013 13:00,422.3673205,1.856412393,0.65742,23.267
07/06/2013 14:00,785.3971612,2.538502091,0.59459,24.284
07/06/2013 15:00,670.7245479,3.24198066,0.56057,24.649
07/06/2013 16:00,528.234344,3.444758168,0.56208,24.819
07/06/2013 17:00,389.346423,2.549980213,0.55346,24.503
07/06/2013 18:00,224.6421702,2.393998156,0.56311,23.823
07/06/2013 19:00,80.45092634,1.107789449,0.62167,22.76
07/06/2013 20:00,3.902469937,0.384996714,0.6926,21.343
07/06/2013 21:00,0.100063365,0.931421507,0.75442,20.195
07/06/2013 22:00,0,0.604866185,0.7595,19.575
07/06/2013 23:00,0.100063365,1.130664897,0.75562,19.503
07/07/2013 0:00,0,0.738242444,0.75763,19.217
07/07/2013 1:00,0,1.706124616,0.74968,19.265
07/07/2013 2:00,0,1.961158703,0.75366,19.098
07/07/2013 3:00,0,1.351482758,0.79912,18.123
07/07/2013 4:00,1.100696583,0.474152895,0.82616,17.457
07/07/2013 5:00,29.81887496,0.169966832,0.82177,17.481
07/07/2013 6:00,192.9221636,0.254421821,0.79122,18.789
07/07/2013 7:00,382.4420761,1.012806336,0.73128,20.362
07/07/2013 8:00,542.7435768,2.096793534,0.68256,21.702
07/07/2013 9:00,658.5168782,2.519030411,0.66525,22.567
07/07/2013 10:00,775.891118,2.431741773,0.63549,23.75
07/07/2013 11:00,858.3431318,2.453725334,0.59389,24.43
07/07/2013 12:00,703.4452266,2.512262567,0.57471,24.697
07/07/2013 13:00,832.82719,2.712623099,0.58458,25.039
07/07/2013 14:00,787.1983026,3.76995784,0.56084,25.259
07/07/2013 15:00,618.7916655,3.161097838,0.53457,25.405
07/07/2013 16:00,500.1165347,2.485041915,0.54027,25.185
07/07/2013 17:00,207.6314281,1.56253655,0.58473,24.527
07/07/2013 18:00,222.9411302,2.751447675,0.57849,23.896
07/07/2013 19:00,65.24130005,2.554780343,0.59421,23.049
07/07/2013 20:00,4.00253373,0.694721695,0.63175,21.678
07/07/2013 21:00,0,0.114708033,0.68956,20.004
