Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
garden_leisure_h5-10_d2_OH0,206,30,0.9,8
garden_leisure_h5-10_d2_OH0-0.5,207,30,0.9,8
garden_leisure_h5-10_d2_OH1-2.5,208,30,0.9,8
garden_leisure_h5-10_d3_OH0,209,30,0.9,8
garden_leisure_h5-10_d4_OH0,210,30,0.9,8
garden_leisure_h5-10_d4_OH0-0.5,211,30,0.9,8
garden_leisure_h5-10_d5_OH0,212,30,0.9,8
riparian vegetation_h>2_d5_OH0,213,30,0.9,8
riparian vegetation_h0-1_d5_OH0,214,30,0.9,8
riparian vegetation_h0-5_d1_OH0,215,30,0.9,8
riparian vegetation_h0-5_d1_OH0-0.5,216,30,0.9,8
riparian vegetation_h0-5_d1_OH1-2.5,217,30,0.9,8
riparian vegetation_h0-5_d2_OH0,218,30,0.9,8
riparian vegetation_h0-5_d2_OH0-0.5,219,30,0.9,8
riparian vegetation_h0-5_d2_OH1-2.5,220,30,0.9,8
riparian vegetation_h0-5_d3_OH0,221,30,0.9,8
riparian vegetation_h0-5_d3_OH0-0.5,222,30,0.9,8
riparian vegetation_h0-5_d3_OH1-2.5,223,30,0.9,8
riparian vegetation_h0-5_d4_OH0,224,30,0.9,8
riparian vegetation_h0-5_d4_OH0-0.5,225,30,0.9,8
riparian vegetation_h0-5_d4_OH1-2.5,226,30,0.9,8
riparian vegetation_h0-5_d5_OH0,227,30,0.9,8
riparian vegetation_h0-5_d5_OH0-0.5,228,30,0.9,8
riparian vegetation_h0-5_d5_OH1-2.5,229,30,0.9,8
riparian vegetation_h10-20_d1_OH0,230,30,0.9,8
riparian vegetation_h10-20_d2_OH0,231,30,0.9,8
riparian vegetation_h10-20_d2_OH0-0.5,232,30,0.9,8
riparian vegetation_h10-20_d2_OH1-2.5,233,30,0.9,8
riparian vegetation_h10-20_d3_OH0,234,30,0.9,8
riparian vegetation_h10-20_d3_OH0-0.5,235,30,0.9,8
riparian vegetation_h10-20_d3_OH1-2.5,236,30,0.9,8
riparian vegetation_h10-20_d3_OH3-5,237,30,0.9,8
riparian vegetation_h10-20_d3_OH6-8,238,30,0.9,8
riparian vegetation_h10-20_d4_OH0,239,30,0.9,8
riparian vegetation_h10-20_d4_OH0-0.5,240,30,0.9,8
riparian vegetation_h10-20_d4_OH1-2.5,241,30,0.9,8
riparian vegetation_h10-20_d4_OH3-5,242,30,0.9,8
riparian vegetation_h10-20_d4_OH6-8,243,30,0.9,8
riparian vegetation_h10-20_d5_OH0,244,30,0.9,8
riparian vegetation_h10-20_d5_OH0-0.5,245,30,0.9,8
riparian vegetation_h10-20_d5_OH1-2.5,246,30,0.9,8
riparian vegetation_h10-20_d5_OH3-5,247,30,0.9,8
riparian vegetation_h10-20_d5_OH6-8,248,30,0.9,8
