DateTime,GloRad (W/m2),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C)
07/01/2013 0:00,0,0.65999975,0.80423,10.583
07/01/2013 1:00,0.100063365,0.61138775,0.76821,11.335
07/01/2013 2:00,0,0.92923475,0.79572,10.559
07/01/2013 3:00,0.100063365,1.00402225,0.79498,10.218
07/01/2013 4:00,1.9012035,0.459943,0.88824,8.501
07/01/2013 5:00,45.52882021,0.8881015,0.87713,8.969
07/01/2013 6:00,247.1564379,1.217831378,0.75321,12.301
07/01/2013 7:00,411.9607922,0.339650804,0.61971,14.864
07/01/2013 8:00,577.7657331,0.438851091,0.58547,16.698
07/01/2013 9:00,759.5808294,1.04452803,0.57685,17.601
07/01/2013 10:00,314.0988036,0.803056418,0.58828,17.53
07/01/2013 11:00,381.5415054,0.91845823,0.54975,18.743
07/01/2013 12:00,454.787866,0.751605073,0.51704,19.314
07/01/2013 13:00,769.1868884,0.82585608,0.50692,20.864
07/01/2013 14:00,631.4997569,0.699797851,0.53429,20.721
07/01/2013 15:00,566.358447,0.567058013,0.4655,22.492
07/01/2013 16:00,331.7099832,0.34028325,0.52343,21.222
07/01/2013 17:00,381.7416227,0.7142205,0.50387,21.414
07/01/2013 18:00,250.3584861,0.871402881,0.49727,21.677
07/01/2013 19:00,108.3686184,0.734808658,0.55858,20.339
07/01/2013 20:00,3.602280271,0.001869688,0.73761,17.815
07/01/2013 21:00,0,0,0.81451,16.508
07/01/2013 22:00,0,0,0.87755,13.741
07/01/2013 23:00,0.100063365,0.3683285,0.91088,12.565
07/02/2013 0:00,0,0.38702525,0.92416,11.843
07/02/2013 1:00,0.100063365,0,0.95068,10.583
07/02/2013 2:00,0,0,0.94793,10.315
07/02/2013 3:00,0.100063365,0,0.96711,9.73
07/02/2013 4:00,1.801139707,0,0.9718,9.24
07/02/2013 5:00,40.72578213,0,0.97952,9.411
07/02/2013 6:00,228.9449064,0.185099075,0.9277,12.011
07/02/2013 7:00,396.751106,0.0467422,0.78318,15.674
07/02/2013 8:00,559.1538813,0.785647061,0.68418,18.291
07/02/2013 9:00,698.8423572,1.209086645,0.66001,20.339
07/02/2013 10:00,804.7093807,2.285731674,0.58939,21.964
07/02/2013 11:00,884.960361,1.517754442,0.55749,23.19
