DateTime,#1     Inflow Rate (cms),#1     Inflow Temp (*C)
07/08/2013 22:00,0.00000,21.4
07/08/2013 23:00,0.00000,21.1
07/09/2013 00:00,0.00000,20.6
07/09/2013 01:00,0.00000,20.1
07/09/2013 02:00,0.00000,19.6
07/09/2013 03:00,0.00000,19.1
07/09/2013 04:00,0.00000,18.6
07/09/2013 05:00,0.00000,18.0
07/09/2013 06:00,0.00000,17.7
07/09/2013 07:00,0.00000,17.2
07/09/2013 08:00,0.00000,16.9
07/09/2013 09:00,0.00000,16.7
07/09/2013 10:00,0.00000,16.9
07/09/2013 11:00,0.00000,17.2
07/09/2013 12:00,0.00000,17.8
07/09/2013 13:00,0.00000,18.6
07/09/2013 14:00,0.00000,19.3
07/09/2013 15:00,0.00000,19.5
07/09/2013 16:00,0.00000,19.6
07/09/2013 17:00,0.00000,20.3
07/09/2013 18:00,0.00000,20.9
07/09/2013 19:00,0.00000,21.3
07/09/2013 20:00,0.00000,21.3
07/09/2013 21:00,0.00000,21.3
07/09/2013 22:00,0.00000,20.9
07/09/2013 23:00,0.00000,20.4
07/10/2013 00:00,0.00000,19.8
