DateTime,GloRad (W/m2),Wind Speed (m/s),Relative Humidity (0 - 1),Air Temp (*C)
07/01/2013 0:00,0,0.65999975,0.80423,11.443
07/01/2013 1:00,0.100063365,0.61138775,0.76821,12.195
07/01/2013 2:00,0,0.92923475,0.79572,11.419
07/01/2013 3:00,0.100063365,1.00402225,0.79498,11.078
07/01/2013 4:00,1.9012035,0.459943,0.88824,9.361
07/01/2013 5:00,45.52882021,0.8881015,0.87713,9.829
07/01/2013 6:00,247.1564379,1.217831378,0.75321,13.161
07/01/2013 7:00,411.9607922,0.339650804,0.61971,15.724
07/01/2013 8:00,577.7657331,0.438851091,0.58547,17.558
07/01/2013 9:00,759.5808294,1.04452803,0.57685,18.461
07/01/2013 10:00,314.0988036,0.803056418,0.58828,18.39
07/01/2013 11:00,381.5415054,0.91845823,0.54975,19.603
07/01/2013 12:00,454.787866,0.751605073,0.51704,20.174
07/01/2013 13:00,769.1868884,0.82585608,0.50692,21.724
07/01/2013 14:00,631.4997569,0.699797851,0.53429,21.581
07/01/2013 15:00,566.358447,0.567058013,0.4655,23.352
07/01/2013 16:00,331.7099832,0.34028325,0.52343,22.082
07/01/2013 17:00,381.7416227,0.7142205,0.50387,22.274
07/01/2013 18:00,250.3584861,0.871402881,0.49727,22.537
07/01/2013 19:00,108.3686184,0.734808658,0.55858,21.199
07/01/2013 20:00,3.602280271,0.001869688,0.73761,18.675
07/01/2013 21:00,0,0,0.81451,17.368
07/01/2013 22:00,0,0,0.87755,14.601
07/01/2013 23:00,0.100063365,0.3683285,0.91088,13.425
07/02/2013 0:00,0,0.38702525,0.92416,12.703
07/02/2013 1:00,0.100063365,0,0.95068,11.443
07/02/2013 2:00,0,0,0.94793,11.175
07/02/2013 3:00,0.100063365,0,0.96711,10.59
07/02/2013 4:00,1.801139707,0,0.9718,10.1
07/02/2013 5:00,40.72578213,0,0.97952,10.271
07/02/2013 6:00,228.9449064,0.185099075,0.9277,12.871
07/02/2013 7:00,396.751106,0.0467422,0.78318,16.534
07/02/2013 8:00,559.1538813,0.785647061,0.68418,19.151
07/02/2013 9:00,698.8423572,1.209086645,0.66001,21.199
07/02/2013 10:00,804.7093807,2.285731674,0.58939,22.824
07/02/2013 11:00,884.960361,1.517754442,0.55749,24.05
07/02/2013 12:00,896.3671333,1.695312749,0.50623,24.992
07/02/2013 13:00,884.3600947,1.471587775,0.50665,25.55
07/02/2013 14:00,826.7233124,1.857597205,0.44565,26.989
07/02/2013 15:00,122.7777497,0.52581772,0.48941,25.55
07/02/2013 16:00,129.6820966,0.378735239,0.66128,23.304
07/02/2013 17:00,122.0772963,0.31784675,0.70834,22.992
07/02/2013 18:00,92.85879897,0,0.78171,22.609
07/02/2013 19:00,54.03419979,0,0.78792,22.154
07/02/2013 20:00,3.001900083,0,0.86742,18.866
07/02/2013 21:00,0,0.001869688,0.92927,17.177
07/02/2013 22:00,0,0,0.95896,15.939
07/02/2013 23:00,0.100063365,0.412976683,0.97685,15.318
07/03/2013 0:00,0.100063365,0,0.94966,14.266
07/03/2013 1:00,0,0.179499738,0.96226,13.882
07/03/2013 2:00,0,0.034475334,0.959,13.233
07/03/2013 3:00,0,0,0.9614,12.509
07/03/2013 4:00,1.100696583,0.001869688,0.95832,11.832
07/03/2013 5:00,38.62444762,0,0.9836,11.662
07/03/2013 6:00,226.8435462,0,0.93576,14.194
07/03/2013 7:00,397.4515594,0.145835625,0.84514,18.105
07/03/2013 8:00,547.1463289,0.73960499,0.71232,20.889
07/03/2013 9:00,419.0652564,0.714230466,0.67998,21.724
07/03/2013 10:00,598.5788752,1.385901288,0.6187,23.352
07/03/2013 11:00,729.2615584,2.59877758,0.5376,25.258
07/03/2013 12:00,648.2102801,1.82389525,0.52361,25.647
07/03/2013 13:00,888.5628151,2.335244997,0.51281,27.063
07/03/2013 14:00,802.0076686,1.919845106,0.49265,26.818
07/03/2013 15:00,699.142576,1.893805306,0.43915,27.014
07/03/2013 16:00,551.0488305,2.200462361,0.3696,27.382
07/03/2013 17:00,236.6498082,1.742614862,0.40952,26.598
07/03/2013 18:00,99.86324734,0.417677417,0.48603,25.162
07/03/2013 19:00,49.73148067,0.35711025,0.62277,23.232
07/03/2013 20:00,2.601646625,0.0467422,0.70714,20.627
07/03/2013 21:00,0,0,0.8311,17.986
07/03/2013 22:00,0,0,0.87604,16.32
07/03/2013 23:00,0.100063365,0.185099075,0.89653,15.724
07/04/2013 0:00,0,0,0.90096,15.796
07/04/2013 1:00,0,0.59082125,0.88007,15.986
07/04/2013 2:00,0,0.58708175,0.88108,16.296
07/04/2013 3:00,0,0.001869688,0.86722,16.582
07/04/2013 4:00,1.400887105,0,0.89927,16.082
07/04/2013 5:00,42.42685634,0,0.93338,15.7
07/04/2013 6:00,217.7378233,0.170141575,0.86329,18.033
07/04/2013 7:00,338.2140955,1.149299747,0.70889,21.557
07/04/2013 8:00,547.7466808,1.669735682,0.60391,23.665
07/04/2013 9:00,692.4382607,1.57160771,0.55772,24.629
07/04/2013 10:00,389.346423,0.495308415,0.57693,23.954
07/04/2013 11:00,440.4788361,0.155858386,0.54217,25.817
07/04/2013 12:00,358.1266669,0.4874008,0.52536,25.768
07/04/2013 13:00,769.587123,1.315304853,0.57855,26.671
07/04/2013 14:00,356.7257601,1.103274187,0.57779,25.963
07/04/2013 15:00,170.3077944,1.288517221,0.57026,25.72
07/04/2013 16:00,434.6750916,1.022575503,0.54272,26.426
07/04/2013 17:00,395.650418,1.962535188,0.53452,26.207
07/04/2013 18:00,204.1292468,1.931578253,0.55962,25.501
07/04/2013 19:00,57.63648263,0.198583338,0.58486,24.484
07/04/2013 20:00,3.902469937,1.06011275,0.6806,21.246
07/04/2013 21:00,0,0.108441875,0.77221,19.389
07/04/2013 22:00,0,0.27110475,0.82877,18.057
07/04/2013 23:00,0,0,0.84652,17.034
07/05/2013 0:00,0,0.005609063,0.87002,16.511
07/05/2013 1:00,0.100063365,0.7273085,0.89355,15.485
07/05/2013 2:00,0,0.75909325,0.89175,15.509
07/05/2013 3:00,0,0.170141575,0.87454,16.368
07/05/2013 4:00,0.80050666,0.248668425,0.94111,14.457
07/05/2013 5:00,27.01710417,0,0.95155,14.888
07/05/2013 6:00,226.543413,0.335675362,0.78951,20.341
07/05/2013 7:00,137.4870142,1.284805825,0.66416,22.034
07/05/2013 8:00,180.3141737,2.473195156,0.66757,22.106
07/05/2013 9:00,692.0380261,2.700380665,0.55903,24.46
07/05/2013 10:00,797.2045963,2.64326812,0.52561,25.258
07/05/2013 11:00,870.2508396,2.153576441,0.49654,26.109
07/05/2013 12:00,941.1961509,3.127309261,0.44884,26.94
07/05/2013 13:00,680.830943,4.054692345,0.44977,26.622
07/05/2013 14:00,801.8074656,2.875766894,0.4662,27.063
07/05/2013 15:00,674.3268307,2.609754302,0.45428,27.677
07/05/2013 16:00,446.4826123,2.752592078,0.49669,26.475
07/05/2013 17:00,404.4560077,1.840514475,0.52825,25.793
07/05/2013 18:00,255.5617931,3.078759709,0.5196,25.258
07/05/2013 19:00,63.84041038,1.520396236,0.55839,23.809
07/05/2013 20:00,2.601646625,1.071396254,0.62796,22.513
07/05/2013 21:00,0.100063365,1.589504828,0.65337,22.202
07/05/2013 22:00,0,2.729773401,0.65203,21.772
07/05/2013 23:00,0,1.251569744,0.69456,21.127
07/06/2013 0:00,0,0.865534061,0.72138,20.746
07/06/2013 1:00,0.100063365,1.47103049,0.72775,20.579
07/06/2013 2:00,0.100063365,0.3514465,0.74729,20.079
07/06/2013 3:00,0.100063365,0.587129562,0.76886,19.698
07/06/2013 4:00,0.400253373,1.5803018,0.76245,19.912
07/06/2013 5:00,5.503483771,0.848222247,0.75868,19.888
07/06/2013 6:00,44.12793054,2.48319077,0.76268,19.888
07/06/2013 7:00,72.04560542,1.423573833,0.86659,18.628
07/06/2013 8:00,97.46166836,0.998017409,0.88174,18.485
